"Demographics","var_ethnic","population","var_scope","var_stage","var_sampleValue","var_source","var_yr_ob","x"
"cps 4th grade population (cps 2021-2022)","All",22252,"city_chi","k8",0,"cps 2021-2022",2021,"k8_4th"
"cps 4th grade population (cps 2021-2022)","Black",8275,"city_chi","k8",0,"cps 2021-2022",2021,"k8_4th"
"cps 4th grade population (cps 2021-2022)","Hispanic",10392,"city_chi","k8",0,"cps 2021-2022",2021,"k8_4th"
"cps 4th grade population (cps 2021-2022)","White",2501,"city_chi","k8",0,"cps 2021-2022",2021,"k8_4th"
"cps 4th grade population (cps 2021-2022)","Asian",1084,"city_chi","k8",0,"cps 2021-2022",2021,"k8_4th"
"cps 8th grade population (cps 2021-2022)","All",25465,"city_chi","k8",0,"cps 2021-2022",2021,"k8_8th"
"cps 8th grade population (cps 2021-2022)","Black",9376,"city_chi","k8",0,"cps 2021-2022",2021,"k8_8th"
"cps 8th grade population (cps 2021-2022)","Hispanic",12500,"city_chi","k8",0,"cps 2021-2022",2021,"k8_8th"
"cps 8th grade population (cps 2021-2022)","White",2566,"city_chi","k8",0,"cps 2021-2022",2021,"k8_8th"
"cps 8th grade population (cps 2021-2022)","Asian",1023,"city_chi","k8",0,"cps 2021-2022",2021,"k8_8th"
"cps k-8 population (cps 2021-2022)","All",205654,"city_chi","k8",0,"cps 2021-2022",2021,"k8_total"
"cps k-8 population (cps 2021-2022)","Black",76478,"city_chi","k8",0,"cps 2021-2022",2021,"k8_total"
"cps k-8 population (cps 2021-2022)","Hispanic",95809,"city_chi","k8",0,"cps 2021-2022",2021,"k8_total"
"cps k-8 population (cps 2021-2022)","White",23965,"city_chi","k8",0,"cps 2021-2022",2021,"k8_total"
"cps k-8 population (cps 2021-2022)","Asian",9402,"city_chi","k8",0,"cps 2021-2022",2021,"k8_total"
"cps 9th grade population (cps 2021-2022)","All",25552,"city_chi","hs",0,"cps 2021-2022",2021,"hs_9th"
"cps 9th grade population (cps 2021-2022)","Black",9285,"city_chi","hs",0,"cps 2021-2022",2021,"hs_9th"
"cps 9th grade population (cps 2021-2022)","Hispanic",12923,"city_chi","hs",0,"cps 2021-2022",2021,"hs_9th"
"cps 9th grade population (cps 2021-2022)","White",2306,"city_chi","hs",0,"cps 2021-2022",2021,"hs_9th"
"cps 9th grade population (cps 2021-2022)","Asian",1038,"city_chi","hs",0,"cps 2021-2022",2021,"hs_9th"
"cps 10th grade population (cps 2021-2022)","All",26053,"city_chi","hs",0,"cps 2021-2022",2021,"hs_10th"
"cps 10th grade population (cps 2021-2022)","Black",9608,"city_chi","hs",0,"cps 2021-2022",2021,"hs_10th"
"cps 10th grade population (cps 2021-2022)","Hispanic",13039,"city_chi","hs",0,"cps 2021-2022",2021,"hs_10th"
"cps 10th grade population (cps 2021-2022)","White",2404,"city_chi","hs",0,"cps 2021-2022",2021,"hs_10th"
"cps 10th grade population (cps 2021-2022)","Asian",1002,"city_chi","hs",0,"cps 2021-2022",2021,"hs_10th"
"cps 11th grade population (cps 2021-2022)","All",26118,"city_chi","hs",0,"cps 2021-2022",2021,"hs_11th"
"cps 11th grade population (cps 2021-2022)","Black",9535,"city_chi","hs",0,"cps 2021-2022",2021,"hs_11th"
"cps 11th grade population (cps 2021-2022)","Hispanic",12869,"city_chi","hs",0,"cps 2021-2022",2021,"hs_11th"
"cps 11th grade population (cps 2021-2022)","White",2623,"city_chi","hs",0,"cps 2021-2022",2021,"hs_11th"
"cps 11th grade population (cps 2021-2022)","Asian",1091,"city_chi","hs",0,"cps 2021-2022",2021,"hs_11th"
"cps 12th grade population (cps 2021-2022)","All",24694,"city_chi","hs",0,"cps 2021-2022",2021,"hs_12th"
"cps 12th grade population (cps 2021-2022)","Black",8775,"city_chi","hs",0,"cps 2021-2022",2021,"hs_12th"
"cps 12th grade population (cps 2021-2022)","Hispanic",12397,"city_chi","hs",0,"cps 2021-2022",2021,"hs_12th"
"cps 12th grade population (cps 2021-2022)","White",2391,"city_chi","hs",0,"cps 2021-2022",2021,"hs_12th"
"cps 12th grade population (cps 2021-2022)","Asian",1131,"city_chi","hs",0,"cps 2021-2022",2021,"hs_12th"
"cps hs population (cps 2021-2022)","All",102417,"city_chi","hs",0,"cps 2021-2022",2021,"hs_total"
"cps hs population (cps 2021-2022)","Black",37203,"city_chi","hs",0,"cps 2021-2022",2021,"hs_total"
"cps hs population (cps 2021-2022)","Hispanic",51228,"city_chi","hs",0,"cps 2021-2022",2021,"hs_total"
"cps hs population (cps 2021-2022)","White",9724,"city_chi","hs",0,"cps 2021-2022",2021,"hs_total"
"cps hs population (cps 2021-2022)","Asian",4262,"city_chi","hs",0,"cps 2021-2022",2021,"hs_total"
